,date,user_id,text,like,tag,pp_text,like_point
1608,2015-02-27T14:17:05.000Z,theprecious.rentals,Nice pic!,284주답글 달기,,Nice pic,0
1609,2015-02-27T14:17:05.000Z,inara.my,Like it!,284주답글 달기,,Like it,0
1610,2017-08-14T05:20:07.000Z,deerbambi.meow,#meowtastingmenu #seaweedcrisps #humanfoodisthebest #bigeyescat,7,#meowtastingmenu #seaweedcrisps #humanfoodisthebest #bigeyescat,meowtastingmenuseaweedcrispshumanfoodisthebestbigeyescat,7
1611,2016-08-23T11:53:59.000Z,danicabaker2401,Mmmm these are actually rather nice... and only 22 calories. .. yep will be eating more of these.. #light #seaweed #snack #slimmingworld #healthy #goodforyou #lowcal #itsu #seaweedcrisps #thins #watchingwhatyoueat #canihavemorecakenow,4,#light #seaweed #snack #slimmingworld #healthy #goodforyou #lowcal #itsu #seaweedcrisps #thins #watchingwhatyoueat #canihavemorecakenow,Mmmm these are actually rather niceand only 22 calories yep will be eating more of theselightseaweedsnackslimmingworldhealthygoodforyoulowcalitsuseaweedcrispsthinswatchingwhatyoueatcanihavemorecakenow,4
1612,2019-01-17T10:49:56.000Z,tabito.japan,韓国土産いただきました🎵海苔のくっついたサクサクなスナック❗️美味しい～😆#bibigo#seaweedcrisps #海藻クリスプスナック#ビビゴ#韓国土産,183,,bibigo seaweedcrisps,183
1613,2019-01-17T10:49:56.000Z,maarten_kost,Awesome in every way 👏👏 Well done👌👌👌,82주좋아요 1개답글 달기,,Awesome in every wayWell done, 1
1614,2018-08-23T20:04:43.000Z,babybodyfitgalway,"Discovering new exotic snacks 😊. You might think eww yukkie but no... Super yum. I love my sushi, so it's like eating crunchy sushi 🍣🍣🍣 #snacks #healthysnacking #seaweed #turmeric #seaweedcrisps #sushi #givememore",14,#snacks #healthysnacking #seaweed #turmeric #seaweedcrisps #sushi #givememore,Discovering new exotic snacksYou might think eww yukkie but noSuper yumI love my sushiso it s like eating crunchy sushisnackshealthysnackingseaweedturmericseaweedcrispssushigivememore,14
1615,2018-08-23T20:04:43.000Z,erosbrambat,Eesti keeles - tavaline Adrukrõps!,103주답글 달기,,Eesti keeles tavaline Adrukr ps,0
1616,2018-08-23T20:04:43.000Z,santa.salong,Good photo.,101주답글 달기,,Good photo,0
1617,2017-03-12T03:51:54.000Z,olijunbug,#짱구 #미우새 #Jjangu #seaweedcrisps #funny #eyebrows 😯 #지못미,9,#Jjangu #seaweedcrisps #funny #eyebrows,Jjanguseaweedcrispsfunnyeyebrows,9
