date,user_id,pp_text,tag,like_point
2014-09-23T00:52:50.000Z,makeupbyhawiza,I love anything everything with coconut Repost fromyvonne deliciously vegan withrepostappOopsI changed rule number one to reflect1 in photoThat s just to repost To celebrate and to give thanks for reaching 20 000 followersI want to give back by giving away some of my favorite thingsOne lucky winner will receive the following1Choice of a My Eclectic Kitchen iPhone recipe App or eBook2 simplystraws glass straw3 astigvegan tote bag4 veganfoodshare swag5 larabars 6 manitobaharvesthempseeds 7 yogitea chai rooibos tea 8 chicza usa all natural chewing gum9 Coconut Secret coconut vinegarcoconut nectarand coconut aminossoy sauce substitute 10 terramazon cacao powder11 traderjoeschiaseeds and roastedseaweedsnack12 ancientharvest GF quinoa pasta 13 latejulyorganic non gmo tortilla chips14 waybettersnacks delicious Non gmo sweet chili corn tortilla chips15 gomacro cashew caramel macrobars16 enjoylifefoods semi sweet chocolate mega chunks and mini chips17 banhtrangSpringRollWrappers18My favorite all naturalaluminum freeAlveraDeodorantIt s the most effective natural deodorant I ve tried SUPER SIMPLE contest rules 1Repost this photo 2Followyvonne deliciously vegan 3Tagyvonne deliciously vegan andMEKgiveaway 4Tell me something about yourself The contest is open worldwideI will ship anywhere in the worldThe contest runs until FridayOctober 3rd at 11pmPST You may enter once a dayOnce againthank you for all your love and support Please continue to tell your friends and family about the My Eclectic Kitchen AppLink in my profile Nowget postingMuch Love and HugsYvonne veganglutenfreeglutenfreeveganvegetarianveganmomglutenfreemomplantbasedplantbasedmomgiveaway,#Repost #hempseeds #Coconut #chiaseeds #seaweedsnack12 #banhtrang #SpringRollWrappers18 #AlveraDeodorant #MEKgiveaway4 #vegan #glutenfree #glutenfreevegan #vegetarian #veganmom #glutenfreemom #plantbased #plantbasedmom #giveaway,24
2014-07-14T03:59:59.000Z,kealalove,Yummmmthe states really need to get on thisyummyseaweedchipsdeliciousnessAsiaknowsifyoudontknownowyouknow,#yummy #seaweedchips #deliciousness #Asiaknows #ifyoudontknownowyouknow,24
2014-06-18T02:01:08.000Z,elvinahuang,Merlion X Hello Kittyhellokittymerlionmerlionsymbolsingaporeseaweedseaweedchipssanrio,#hellokitty #merlion #merlionsymbol #singapore #seaweed #seaweedchips #sanrio,24
2014-12-25T19:55:01.000Z,browsbyjesshilzey,Merry Christmas from my bed colloidalsilverhumidifierteasickblueoilavedahydratingmistbeefreeecolipsturmericjuicekombuchabloomfermentselderberrysyrupjadekleenexseaweedsnackbustmagazine,#colloidalsilver #humidifier #tea #sick #blueoil #aveda #hydratingmist #beefree #ecolips #turmeric #juice #kombucha #bloomferments #elderberrysyrup #jade #kleenex #seaweedsnack #bustmagazine,23
2014-12-20T03:50:37.000Z,milliejjesse,Late lunch wildberryteaglutenfreesundriedtomatoesvegannoriseaweedsnack,#wildberrytea #glutenfree #sundriedtomatoes #vegan #nori #seaweedsnack,23
2014-11-22T03:56:06.000Z,ooolonglonggirl,Craving sushihomemade craving sushi cravingsushi lunch foodie odiydiy likeforlike TagStaGram instadaily picoftheday foodgasm foodporn jalapeno instafood ig world favorite foodaddict diy selfmade ilovetakingpictures ooolonglonggirlkitchen aprilsushi,,23
2014-09-27T02:36:46.000Z,vivimongeon,Des x je suis un peu intense,,23
2014-09-13T22:37:33.000Z,imartin23,LunchseaweedchipsnoGMOskoreanbbqflavor,#seaweedchips #noGMOs #koreanbbqflavor,23
2014-09-24T08:50:40.000Z,hanisz82,Blame on PMStaukaenoiseaweedsnackseaweedtomyum,#taukaenoi #seaweedsnack #seaweed #tomyum,22
2014-09-21T19:30:09.000Z,rainbowtubesoc,oceanshaloseaweedchipskoreanbbqvegannongmosnackveganfoodshare,#oceanshalo #seaweedchips #koreanbbq #vegan #nongmo #snack #veganfoodshare,22
2014-09-16T01:29:46.000Z,ordinaryalina,And what does Kyla choose for her after ballet snackSeaweedof course tckballetstillstuckinherteethseaweedsnacklatergram,#tck #ballet #stillstuckinherteeth #seaweedsnack #latergram,22
2014-09-07T19:46:34.000Z,skyneww,asiansnacksoasianseaweedsnackteriyakinoriyumyummy,#asian #snack #soasian #seaweedsnack #teriyakinori #yum #yummy,22
2014-08-28T08:48:33.000Z,w.lll.s,bugakvsco streetwaitforitseoul,#bugak #vscostreet #waitforit #seoul,22
2014-06-26T05:01:01.000Z,7_jenna,8 days 8daysthecountdownbeginsseaweedchipsgardenburgersmidnightpeachesIlovetaylorbayrergeronmoraldilemmakoolaidhairstraightenerguydiamonddustfriendshiprockgonestanleyrossthedinosaurmiltonsleepytimeteatoothpasteselfiebikemotivationcolleenireallylovetaylor,#8days #thecountdownbegins #seaweedchips #gardenburgers #midnightpeaches #Ilovetaylor #bayrergeron #moraldilemma #koolaidhair #straightenerguy #diamonddust #friendshiprock #gone #stanley #rossthedinosaur #milton #sleepytimetea #toothpasteselfie #bikemotivation #colleen #ireallylovetaylor,22
2014-04-10T00:33:42.000Z,letkemanj,humanfishfoodProbably the most disgusting thing I ve had in a while seaweedchipswhosideawasthis,#humanfishfood #seaweedchips #whosideawasthis,22
2014-03-16T07:01:00.000Z,xoxomaichan,I went tochinatown with mum to get sometreatsI lovesnackschineseporkbunscoconutbunsgoldengatecakesseaweedsnacktomatochipsnacksstrawberrymochi japanese chinese food eating it all loveit,#chinatown #treats #snackschineseporkbuns #coconutbuns #goldengatecakes #seaweedsnack #tomatochipsnacks #strawberrymochi #japanesechinesefoodeating,22
